,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
1126,1127,1.0,4.0,2.0,3,3,34,No,Travel_Rarely,Sales,1.25,3,Marketing,Male,4,Healthcare Representative,Single,610.35,1.0,Y,16,8,1,14.0,2,14,2,1
1127,1128,4.0,3.0,2.0,2,3,34,No,Travel_Rarely,Research & Development,11.875,3,Technical Degree,Female,1,Research Director,Divorced,434.07,1.0,Y,16,8,0,9.0,2,8,1,1
1128,1129,3.0,1.0,2.0,4,3,26,No,Travel_Rarely,Research & Development,1.25,2,Life Sciences,Male,2,Research Scientist,Single,270.4,0.0,Y,13,8,0,8.0,6,7,7,6
1129,1130,1.0,1.0,2.0,4,4,29,No,Travel_Rarely,Research & Development,1.25,4,Other,Male,2,Laboratory Technician,Married,272.47999999999996,0.0,Y,22,8,0,6.0,2,5,0,2
1130,1131,3.0,4.0,3.0,4,3,32,No,Non-Travel,Research & Development,1.875,1,Life Sciences,Male,3,Manager,Divorced,807.17,5.0,Y,17,8,1,9.0,5,5,1,2
1131,1132,4.0,1.0,3.0,3,3,31,No,Travel_Frequently,Research & Development,15.625,5,Technical Degree,Female,2,Human Resources,Married,2347.93,1.0,Y,14,8,1,10.0,2,10,8,7
1132,1133,3.0,4.0,2.0,2,3,28,Yes,Travel_Rarely,Sales,4.375,5,Life Sciences,Female,2,Sales Representative,Divorced,2225.99,5.0,Y,15,8,1,6.0,2,4,0,3
1133,1134,1.0,1.0,2.0,2,3,38,No,Travel_Rarely,Research & Development,5.625,2,Technical Degree,Male,3,Sales Representative,Single,308.36,4.0,Y,12,8,0,20.0,3,1,0,0
1134,1135,3.0,4.0,3.0,1,3,35,No,Travel_Rarely,Research & Development,3.125,3,Life Sciences,Male,2,Sales Representative,Married,634.79,1.0,Y,18,8,1,10.0,1,10,0,9
1135,1136,4.0,4.0,3.0,3,3,27,No,Travel_Rarely,Sales,1.25,3,Life Sciences,Female,1,Manager,Single,507.52,1.0,Y,15,8,0,7.0,2,7,0,7
1136,1137,4.0,4.0,3.0,2,3,32,No,Travel_Rarely,Research & Development,5.0,1,Medical,Female,2,Research Scientist,Single,601.51,8.0,Y,17,8,1,8.0,2,1,0,0
1137,1138,1.0,4.0,3.0,3,3,31,Yes,Travel_Frequently,Research & Development,1.25,1,Other,Male,3,Sales Executive,Married,922.2199999999999,1.0,Y,14,8,1,10.0,2,10,0,8
1138,1139,1.0,1.0,2.0,3,3,53,Yes,Travel_Rarely,Research & Development,11.25,3,Medical,Male,1,Research Scientist,Single,444.98999999999995,6.0,Y,15,8,1,15.0,4,2,2,2
1139,1140,1.0,3.0,2.0,3,3,54,No,Travel_Rarely,Research & Development,8.75,3,Other,Male,3,Research Scientist,Married,867.62,3.0,Y,17,8,1,9.0,2,4,2,3
1140,1141,4.0,3.0,3.0,3,3,33,No,Travel_Frequently,Research & Development,1.25,4,Medical,Female,4,Sales Executive,Divorced,2194.4,1.0,Y,14,8,3,9.0,2,9,2,8
1141,1142,1.0,3.0,3.0,3,3,43,No,Travel_Rarely,Research & Development,1.875,3,Medical,Male,1,Research Scientist,Married,1182.22,1.0,Y,12,8,1,10.0,0,10,0,9
1142,1143,4.0,2.0,3.0,2,3,38,No,Travel_Frequently,Research & Development,1.25,5,Medical,Female,4,Sales Executive,Married,1097.98,0.0,Y,14,8,0,7.0,3,6,1,2
1143,1144,3.0,2.0,3.0,2,3,55,No,Travel_Rarely,Sales,5.625,3,Marketing,Male,2,Laboratory Technician,Married,1549.08,4.0,Y,15,8,1,35.0,3,10,1,4
1144,1145,4.0,4.0,3.0,3,3,31,No,Travel_Rarely,Sales,3.75,3,Other,Male,1,Manufacturing Director,Divorced,589.42,1.0,Y,13,8,0,1.0,2,1,0,0
1145,1146,2.0,1.0,3.0,2,3,39,No,Travel_Rarely,Research & Development,2.5,3,Life Sciences,Male,2,Sales Executive,Single,1280.76,0.0,Y,12,8,1,21.0,5,20,11,10
1146,1147,4.0,3.0,3.0,3,3,42,No,Non-Travel,Research & Development,6.25,4,Life Sciences,Female,2,Research Scientist,Single,799.63,1.0,Y,13,8,1,20.0,3,20,3,7
1147,1148,3.0,3.0,4.0,3,3,31,No,Non-Travel,Research & Development,8.75,2,Life Sciences,Male,2,Healthcare Representative,Married,299.26,4.0,Y,14,8,0,13.0,3,11,4,8
1148,1149,3.0,1.0,3.0,4,3,54,No,Travel_Rarely,Research & Development,0.625,3,Medical,Female,2,Human Resources,Single,307.06,6.0,Y,13,8,1,9.0,2,5,1,4
1149,1150,2.0,3.0,2.0,1,3,24,No,Travel_Rarely,Research & Development,3.125,4,Other,Male,1,Manufacturing Director,Single,2321.93,1.0,Y,11,8,2,4.0,5,4,1,2
1150,1151,4.0,4.0,4.0,3,3,23,No,Travel_Rarely,Research & Development,4.375,3,Life Sciences,Male,2,Research Scientist,Single,2494.31,1.0,Y,11,8,1,5.0,2,5,1,4
1151,1152,4.0,3.0,4.0,2,4,40,No,Travel_Frequently,Research & Development,13.125,3,Medical,Female,3,Research Scientist,Married,2563.21,1.0,Y,21,8,0,10.0,1,10,9,4
1152,1153,2.0,2.0,3.0,2,3,40,No,Travel_Rarely,Research & Development,5.0,1,Medical,Female,5,Research Scientist,Married,460.71999999999997,3.0,Y,18,8,3,15.0,3,11,5,10
1153,1154,3.0,2.0,3.0,3,3,25,No,Travel_Rarely,Sales,12.5,5,Medical,Female,2,Laboratory Technician,Married,1105.0,4.0,Y,12,8,0,6.0,2,2,1,2
1154,1155,4.0,2.0,2.0,2,3,30,No,Travel_Rarely,Human Resources,12.5,4,Life Sciences,Male,2,Research Scientist,Married,605.93,1.0,Y,11,8,0,12.0,3,12,1,7
1155,1156,4.0,3.0,2.0,3,3,25,No,Travel_Rarely,Research & Development,4.375,2,Medical,Male,5,Sales Executive,Divorced,533.39,6.0,Y,15,8,1,7.0,2,2,0,2
1156,1157,1.0,3.0,3.0,2,3,47,No,Travel_Rarely,Research & Development,0.625,4,Life Sciences,Male,2,Sales Executive,Single,552.37,2.0,Y,13,8,1,25.0,2,17,12,11
1157,1158,2.0,3.0,2.0,3,3,33,No,Non-Travel,Research & Development,0.625,3,Life Sciences,Male,2,Research Scientist,Divorced,1823.3799999999999,1.0,Y,12,8,0,1.0,4,1,0,0
1158,1159,4.0,2.0,3.0,3,3,38,No,Travel_Rarely,Research & Development,11.875,3,Life Sciences,Female,2,Sales Executive,Married,896.0899999999999,0.0,Y,17,8,0,16.0,3,15,5,8
1159,1160,1.0,3.0,3.0,3,3,31,No,Travel_Rarely,Research & Development,6.25,4,Medical,Female,3,Sales Executive,Married,796.25,0.0,Y,13,8,1,3.0,3,2,1,2
1160,1161,1.0,3.0,3.0,3,3,38,No,Travel_Frequently,Research & Development,0.625,4,Other,Male,2,Research Scientist,Married,476.96999999999997,2.0,Y,19,8,0,10.0,2,8,7,7
1161,1162,4.0,1.0,2.0,1,3,42,No,Travel_Rarely,Research & Development,3.75,3,Medical,Male,2,Laboratory Technician,Divorced,1301.04,6.0,Y,19,8,1,9.0,3,4,1,2
1162,1163,4.0,4.0,3.0,1,3,41,No,Travel_Rarely,Sales,1.25,2,Medical,Male,1,Healthcare Representative,Married,310.31,3.0,Y,17,8,1,12.0,1,5,1,0
1163,1164,3.0,2.0,1.0,2,3,47,No,Non-Travel,Research & Development,13.125,2,Medical,Male,1,Sales Executive,Married,603.0699999999999,0.0,Y,11,8,1,14.0,2,13,5,12
1164,1165,4.0,3.0,3.0,2,3,35,No,Travel_Rarely,Research & Development,2.5,3,Life Sciences,Male,2,Healthcare Representative,Married,1026.74,7.0,Y,15,8,0,5.0,2,2,2,2
1165,1166,4.0,3.0,4.0,3,3,22,No,Travel_Rarely,Human Resources,7.5,1,Human Resources,Male,2,Sales Executive,Single,329.41999999999996,0.0,Y,11,8,0,4.0,1,3,1,2
1166,1167,2.0,3.0,3.0,3,4,35,No,Travel_Rarely,Research & Development,5.625,3,Medical,Female,2,Sales Executive,Single,1708.4599999999998,1.0,Y,25,8,2,10.0,4,10,0,8
1167,1168,2.0,4.0,3.0,2,3,33,No,Travel_Rarely,Sales,1.875,4,Medical,Male,3,Healthcare Representative,Married,209.42999999999998,0.0,Y,14,8,0,10.0,2,9,8,1
1168,1169,3.0,2.0,3.0,3,3,32,No,Travel_Rarely,Research & Development,1.875,2,Technical Degree,Male,3,Manufacturing Director,Single,697.1899999999999,1.0,Y,13,8,0,6.0,4,6,4,1
1169,1170,1.0,4.0,2.0,2,3,40,No,Travel_Rarely,Research & Development,0.625,4,Medical,Male,2,Research Director,Married,659.23,8.0,Y,17,8,1,8.0,3,1,0,0
1170,1171,2.0,2.0,3.0,3,3,32,No,Travel_Rarely,Research & Development,0.625,2,Medical,Male,3,Sales Executive,Married,1780.35,0.0,Y,13,8,0,3.0,3,2,2,2
1171,1172,1.0,4.0,3.0,3,3,39,No,Travel_Rarely,Research & Development,2.5,4,Life Sciences,Male,1,Sales Executive,Single,1742.26,7.0,Y,14,8,1,18.0,1,7,1,7
1172,1173,2.0,3.0,3.0,2,3,38,No,Travel_Rarely,Sales,12.5,4,Medical,Female,2,Research Director,Married,263.77,3.0,Y,11,8,1,20.0,3,18,1,11
1173,1174,3.0,4.0,3.0,3,3,32,No,Travel_Rarely,Research & Development,11.25,3,Life Sciences,Male,2,Manager,Married,829.01,1.0,Y,12,8,2,14.0,3,14,5,7
1174,1175,3.0,4.0,3.0,3,3,37,No,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Female,4,Sales Executive,Married,705.77,1.0,Y,17,8,1,16.0,3,16,6,8
1175,1176,1.0,3.0,2.0,3,4,25,No,Travel_Rarely,Research & Development,1.25,4,Medical,Female,2,Manufacturing Director,Divorced,362.05,0.0,Y,21,8,0,6.0,2,5,0,4
1176,1177,1.0,4.0,2.0,3,3,52,No,Non-Travel,Research & Development,1.25,4,Other,Male,1,Manager,Divorced,599.8199999999999,2.0,Y,16,8,1,16.0,3,9,0,0
1177,1178,2.0,4.0,3.0,3,3,44,No,Travel_Rarely,Research & Development,5.0,1,Life Sciences,Female,1,Sales Representative,Single,339.3,6.0,Y,15,8,0,6.0,2,4,1,2
1178,1179,3.0,1.0,3.0,3,3,21,No,Travel_Rarely,Sales,6.25,5,Medical,Male,3,Research Scientist,Single,869.31,1.0,Y,19,8,3,2.0,0,2,1,2
1179,1180,4.0,4.0,2.0,4,3,39,No,Non-Travel,Research & Development,1.875,4,Life Sciences,Female,2,Research Director,Single,614.12,2.0,Y,12,8,1,21.0,4,6,1,3
1180,1181,4.0,1.0,2.0,3,3,23,Yes,Travel_Frequently,Research & Development,1.25,4,Life Sciences,Female,2,Manufacturing Director,Married,803.27,1.0,Y,11,8,0,1.0,3,1,1,0
1181,1182,1.0,4.0,3.0,3,3,36,No,Travel_Rarely,Research & Development,15.0,3,Life Sciences,Female,2,Laboratory Technician,Married,795.5999999999999,0.0,Y,19,8,0,10.0,2,9,3,4
1182,1183,4.0,2.0,3.0,2,3,36,No,Travel_Frequently,Research & Development,10.0,1,Medical,Male,2,Sales Executive,Divorced,1377.48,7.0,Y,15,8,0,18.0,3,4,0,2
1183,1184,3.0,3.0,2.0,2,4,56,No,Non-Travel,Research & Development,5.0,1,Life Sciences,Male,1,Sales Executive,Divorced,710.7099999999999,1.0,Y,20,8,0,13.0,6,13,1,9
1184,1185,1.0,4.0,4.0,3,4,29,Yes,Travel_Rarely,Research & Development,5.625,4,Medical,Male,2,Sales Representative,Married,389.47999999999996,9.0,Y,25,8,0,4.0,4,2,2,2
1185,1186,1.0,3.0,2.0,2,4,42,No,Travel_Rarely,Research & Development,10.625,1,Life Sciences,Male,3,Research Scientist,Married,1299.74,5.0,Y,24,8,2,24.0,3,22,4,14
1186,1187,4.0,3.0,1.0,3,4,56,Yes,Travel_Rarely,Sales,6.25,4,Other,Male,2,Sales Executive,Married,530.14,8.0,Y,24,8,1,14.0,3,10,9,8
1187,1188,1.0,2.0,3.0,4,3,41,No,Travel_Rarely,Research & Development,8.125,4,Life Sciences,Female,1,Healthcare Representative,Married,1419.6,0.0,Y,15,8,1,21.0,3,20,0,10
1188,1189,4.0,3.0,3.0,3,3,34,No,Travel_Rarely,Sales,0.625,3,Medical,Female,1,Laboratory Technician,Married,810.16,1.0,Y,13,8,1,8.0,3,8,1,7
1189,1190,4.0,4.0,2.0,3,3,36,No,Non-Travel,Sales,0.625,1,Medical,Female,1,Human Resources,Divorced,1722.11,1.0,Y,14,8,0,15.0,3,15,11,11
1190,1191,3.0,2.0,3.0,3,3,41,No,Travel_Rarely,Research & Development,0.625,5,Medical,Male,1,Healthcare Representative,Divorced,530.53,2.0,Y,13,8,0,14.0,3,5,0,4
1191,1192,4.0,1.0,3.0,3,3,32,No,Travel_Rarely,Sales,5.625,4,Life Sciences,Female,2,Research Scientist,Single,749.9699999999999,1.0,Y,11,8,0,4.0,3,4,1,2
1192,1193,3.0,4.0,3.0,3,3,35,No,Travel_Rarely,Research & Development,10.0,3,Medical,Female,2,Healthcare Representative,Single,311.21999999999997,1.0,Y,16,8,1,9.0,3,9,1,7
1193,1194,1.0,4.0,3.0,2,4,38,No,Travel_Rarely,Research & Development,14.375,3,Medical,Male,3,Sales Representative,Married,507.52,1.0,Y,22,8,0,10.0,3,10,1,9
1194,1195,2.0,3.0,3.0,2,3,50,Yes,Travel_Frequently,Sales,2.5,2,Life Sciences,Female,2,Laboratory Technician,Divorced,2183.87,7.0,Y,14,8,1,12.0,2,6,0,1
1196,1197,4.0,3.0,3.0,4,3,45,No,Travel_Rarely,Sales,15.0,3,Life Sciences,Male,1,Laboratory Technician,Single,471.77,8.0,Y,16,8,1,8.0,2,5,0,1
1198,1199,3.0,3.0,4.0,2,4,35,No,Travel_Frequently,Sales,4.375,2,Life Sciences,Male,2,Manufacturing Director,Married,419.77,1.0,Y,25,8,0,10.0,2,10,0,2
1199,1200,3.0,3.0,3.0,3,3,40,No,Travel_Rarely,Research & Development,10.625,4,Life Sciences,Male,1,Manager,Married,465.14,2.0,Y,14,8,1,20.0,2,5,0,2
1200,1201,3.0,4.0,3.0,3,3,35,No,Travel_Rarely,Human Resources,8.75,1,Life Sciences,Male,2,Research Scientist,Married,1038.44,1.0,Y,18,8,0,4.0,3,4,1,1
1201,1202,4.0,2.0,3.0,2,3,29,No,Travel_Rarely,Research & Development,0.625,3,Medical,Male,3,Sales Executive,Married,556.92,4.0,Y,11,8,0,10.0,5,4,0,3
1202,1203,4.0,1.0,1.0,3,3,29,No,Travel_Rarely,Research & Development,3.125,3,Medical,Male,2,Sales Representative,Single,981.89,1.0,Y,19,8,0,5.0,3,5,0,4
1203,1204,4.0,1.0,3.0,3,3,50,Yes,Travel_Rarely,Research & Development,10.625,3,Medical,Male,1,Research Scientist,Divorced,2252.64,4.0,Y,15,8,2,20.0,1,3,2,0
1204,1205,2.0,4.0,2.0,4,3,39,No,Travel_Rarely,Sales,15.625,3,Medical,Male,2,Sales Executive,Married,2561.13,0.0,Y,11,8,0,21.0,3,20,9,6
1205,1206,2.0,1.0,3.0,3,3,31,No,Non-Travel,Research & Development,5.0,4,Life Sciences,Female,4,Sales Executive,Single,1915.1599999999999,0.0,Y,12,8,0,10.0,3,9,1,7
1206,1207,4.0,3.0,3.0,3,4,26,No,Travel_Rarely,Research & Development,6.875,4,Medical,Male,2,Manager,Single,1206.1399999999999,0.0,Y,20,8,0,5.0,3,4,0,0
1207,1208,3.0,4.0,3.0,3,3,36,No,Travel_Frequently,Research & Development,3.125,1,Technical Degree,Male,1,Sales Executive,Married,176.67,4.0,Y,12,8,0,17.0,2,5,0,3
1208,1209,4.0,1.0,3.0,3,3,39,No,Travel_Rarely,Research & Development,1.25,1,Medical,Female,1,Research Scientist,Married,621.27,4.0,Y,14,8,2,9.0,3,7,1,7
1209,1210,2.0,2.0,3.0,3,4,27,No,Travel_Rarely,Research & Development,5.0,2,Medical,Male,1,Laboratory Technician,Married,2134.86,1.0,Y,20,8,1,6.0,3,6,0,3
1210,1211,4.0,2.0,2.0,2,3,49,No,Travel_Frequently,Research & Development,3.75,1,Medical,Male,3,Healthcare Representative,Married,389.47999999999996,2.0,Y,18,8,1,17.0,2,9,0,8
1211,1212,2.0,3.0,4.0,3,3,34,No,Travel_Rarely,Sales,2.5,3,Medical,Female,1,Sales Executive,Married,163.92999999999998,2.0,Y,14,8,1,6.0,6,4,1,2
1212,1213,2.0,4.0,1.0,3,3,41,Yes,Travel_Rarely,Research & Development,4.375,2,Life Sciences,Female,1,Research Scientist,Single,272.87,8.0,Y,12,8,1,8.0,2,6,0,5
1213,1214,3.0,2.0,3.0,3,4,49,No,Travel_Frequently,Sales,0.625,4,Life Sciences,Female,2,Manufacturing Director,Married,755.3,1.0,Y,21,8,1,10.0,2,10,1,7
1214,1215,4.0,3.0,3.0,3,3,37,Yes,Travel_Rarely,Research & Development,1.25,3,Life Sciences,Male,1,Sales Executive,Single,734.11,6.0,Y,19,8,0,7.0,2,0,0,0
1215,1216,4.0,3.0,3.0,3,3,33,No,Travel_Frequently,Research & Development,6.25,2,Medical,Male,2,Research Scientist,Married,444.59999999999997,1.0,Y,14,8,0,8.0,3,8,3,0
1216,1217,1.0,2.0,3.0,2,3,27,No,Travel_Rarely,Sales,3.125,4,Medical,Female,4,Manufacturing Director,Married,572.0,9.0,Y,17,8,1,6.0,3,2,2,2
1217,1218,4.0,4.0,2.0,2,3,32,No,Travel_Frequently,Research & Development,5.625,2,Medical,Female,2,Research Scientist,Single,455.0,0.0,Y,16,8,1,8.0,2,7,3,6
1218,1219,3.0,1.0,2.0,3,3,59,No,Travel_Rarely,Sales,1.25,2,Marketing,Female,5,Sales Representative,Married,268.58,4.0,Y,12,8,1,12.0,3,1,0,0
1219,1220,4.0,3.0,3.0,3,3,30,No,Travel_Rarely,Research & Development,6.875,4,Medical,Male,2,Laboratory Technician,Divorced,2231.97,1.0,Y,17,8,2,1.0,2,1,0,0
1220,1221,4.0,3.0,3.0,3,3,38,No,Travel_Frequently,Sales,11.25,4,Life Sciences,Male,2,Healthcare Representative,Single,541.06,0.0,Y,15,8,1,10.0,1,9,1,8
1221,1222,3.0,3.0,2.0,3,4,36,No,Travel_Rarely,Research & Development,4.375,3,Life Sciences,Male,1,Sales Executive,Married,1196.52,6.0,Y,23,8,1,17.0,2,7,7,7
1222,1223,1.0,2.0,3.0,3,3,35,No,Travel_Rarely,Human Resources,1.875,4,Human Resources,Male,2,Manager,Married,428.21999999999997,0.0,Y,11,8,0,6.0,2,5,0,3
1223,1224,4.0,3.0,3.0,2,3,29,No,Travel_Rarely,Sales,18.125,4,Life Sciences,Male,2,Laboratory Technician,Single,276.51,0.0,Y,11,8,1,10.0,3,9,0,8
1225,1226,2.0,4.0,3.0,2,3,34,No,Travel_Rarely,Research & Development,17.5,3,Technical Degree,Male,1,Laboratory Technician,Divorced,1403.09,0.0,Y,11,8,3,3.0,1,2,1,2
1226,1227,3.0,3.0,3.0,3,3,28,Yes,Travel_Rarely,Research & Development,0.625,4,Life Sciences,Male,5,Research Director,Single,1312.48,5.0,Y,13,8,0,6.0,2,4,0,3
1227,1228,2.0,1.0,3.0,4,3,29,No,Travel_Rarely,Research & Development,10.0,2,Life Sciences,Female,4,Laboratory Technician,Divorced,473.97999999999996,1.0,Y,14,8,0,10.0,3,10,8,8
1228,1229,1.0,2.0,2.0,3,3,32,No,Travel_Rarely,Human Resources,13.75,3,Human Resources,Female,2,Research Director,Divorced,967.9799999999999,0.0,Y,19,8,0,7.0,3,6,0,5
1229,1230,4.0,4.0,2.0,4,3,22,No,Non-Travel,Research & Development,5.0,3,Life Sciences,Female,3,Sales Executive,Divorced,1410.6299999999999,1.0,Y,16,8,1,1.0,2,1,0,0
1230,1231,1.0,4.0,3.0,3,3,53,No,Travel_Rarely,Research & Development,6.875,3,Medical,Male,2,Manager,Married,274.16999999999996,2.0,Y,13,8,0,31.0,3,25,3,7
1231,1232,4.0,4.0,3.0,3,3,38,No,Travel_Rarely,Research & Development,18.125,3,Life Sciences,Female,1,Manufacturing Director,Single,483.85999999999996,5.0,Y,14,8,0,6.0,0,3,1,2
1232,1233,1.0,3.0,2.0,2,3,24,No,Non-Travel,Research & Development,0.625,5,Life Sciences,Male,3,Research Scientist,Divorced,1219.3999999999999,0.0,Y,16,8,0,5.0,2,4,1,3
1233,1234,3.0,1.0,3.0,3,3,36,Yes,Travel_Rarely,Research & Development,0.625,3,Life Sciences,Male,1,Research Director,Single,713.18,7.0,Y,12,8,1,10.0,2,5,0,3
1234,1235,1.0,2.0,3.0,3,3,34,No,Travel_Rarely,Sales,15.0,3,Marketing,Male,4,Research Scientist,Single,356.46,0.0,Y,11,8,1,13.0,2,12,2,11
1235,1236,3.0,4.0,3.0,3,3,21,No,Travel_Rarely,Sales,1.25,3,Life Sciences,Male,2,Manufacturing Director,Single,1788.4099999999999,1.0,Y,12,8,1,0.0,3,0,0,0
1236,1237,2.0,1.0,3.0,1,3,34,Yes,Travel_Rarely,Sales,9.375,2,Marketing,Female,2,Research Scientist,Single,1100.19,2.0,Y,13,8,0,8.0,2,4,1,3
1237,1238,3.0,3.0,2.0,3,3,53,No,Travel_Rarely,Sales,1.25,1,Life Sciences,Male,5,Human Resources,Divorced,411.06,4.0,Y,15,8,0,26.0,4,14,4,8
1238,1239,2.0,1.0,3.0,3,3,32,Yes,Travel_Frequently,Research & Development,6.25,3,Medical,Female,2,Manufacturing Director,Single,2157.74,1.0,Y,13,8,0,10.0,2,10,6,7
1239,1240,3.0,2.0,3.0,2,4,42,No,Travel_Rarely,Research & Development,6.25,3,Technical Degree,Male,2,Laboratory Technician,Married,864.63,0.0,Y,20,8,0,10.0,5,9,4,2
1240,1241,1.0,4.0,3.0,3,3,44,No,Travel_Rarely,Research & Development,1.875,1,Life Sciences,Female,1,Manufacturing Director,Married,304.84999999999997,3.0,Y,15,8,2,24.0,0,22,5,17
1241,1242,2.0,1.0,2.0,1,3,46,No,Travel_Rarely,Sales,1.25,3,Life Sciences,Female,1,Research Scientist,Single,444.59999999999997,3.0,Y,13,8,2,22.0,3,2,2,1
1242,1243,3.0,4.0,3.0,3,3,33,No,Travel_Rarely,Sales,1.875,3,Medical,Male,1,Manufacturing Director,Single,568.49,4.0,Y,14,8,0,7.0,3,1,0,0
1243,1244,4.0,4.0,4.0,3,4,44,No,Travel_Rarely,Human Resources,16.25,3,Life Sciences,Male,5,Healthcare Representative,Married,618.67,2.0,Y,21,8,0,9.0,2,4,1,3
1244,1245,4.0,3.0,3.0,3,3,30,No,Travel_Rarely,Research & Development,0.625,4,Technical Degree,Female,1,Research Scientist,Single,689.13,1.0,Y,16,8,1,10.0,3,10,1,8
1245,1246,4.0,4.0,4.0,3,3,39,Yes,Travel_Rarely,Human Resources,0.625,4,Medical,Male,1,Sales Executive,Married,477.48999999999995,3.0,Y,14,8,1,19.0,3,1,0,0
1246,1247,2.0,4.0,2.0,2,3,24,Yes,Travel_Rarely,Human Resources,1.25,5,Human Resources,Male,3,Sales Executive,Married,619.8399999999999,2.0,Y,11,8,1,6.0,2,2,2,0
1247,1248,4.0,3.0,2.0,2,3,43,No,Travel_Rarely,Sales,5.625,5,Technical Degree,Female,1,Research Director,Divorced,165.62,1.0,Y,19,8,0,6.0,3,5,1,4
1248,1249,1.0,3.0,3.0,2,3,50,Yes,Travel_Rarely,Research & Development,7.5,4,Medical,Male,1,Research Director,Married,637.0,1.0,Y,11,8,0,3.0,3,3,0,2
1249,1250,4.0,4.0,3.0,3,3,35,No,Travel_Rarely,Sales,1.25,4,Marketing,Male,3,Manufacturing Director,Married,1360.58,1.0,Y,13,8,0,2.0,1,2,2,2
1250,1251,2.0,1.0,4.0,2,3,36,No,Travel_Rarely,Research & Development,15.625,1,Life Sciences,Female,4,Sales Executive,Married,2210.91,9.0,Y,12,8,1,6.0,2,1,0,0
1251,1252,3.0,1.0,3.0,2,3,33,No,Travel_Frequently,Sales,5.625,2,Marketing,Male,4,Human Resources,Married,378.16999999999996,2.0,Y,11,8,0,10.0,2,5,1,3
1252,1253,3.0,4.0,3.0,3,3,35,No,Travel_Rarely,Research & Development,6.25,1,Medical,Male,1,Research Scientist,Divorced,749.4499999999999,1.0,Y,14,8,1,1.0,2,1,0,0
1253,1254,4.0,1.0,3.0,2,3,27,No,Travel_Rarely,Sales,5.0,2,Marketing,Female,3,Research Scientist,Divorced,597.87,1.0,Y,15,8,1,1.0,3,1,0,0
1254,1255,1.0,3.0,2.0,3,3,26,Yes,Travel_Rarely,Sales,2.5,3,Marketing,Male,2,Manager,Single,312.52,1.0,Y,12,8,0,1.0,6,1,0,1
1255,1256,4.0,3.0,3.0,3,4,27,No,Travel_Frequently,Sales,15.0,3,Life Sciences,Male,4,Healthcare Representative,Single,412.35999999999996,1.0,Y,20,8,1,9.0,1,9,1,7
1256,1257,3.0,4.0,3.0,1,3,30,No,Travel_Frequently,Research & Development,0.625,4,Medical,Male,1,Research Scientist,Single,264.28999999999996,1.0,Y,14,8,1,12.0,3,12,3,7
1257,1258,2.0,3.0,3.0,3,3,41,Yes,Travel_Rarely,Sales,12.5,4,Marketing,Male,2,Sales Executive,Married,1327.1699999999998,1.0,Y,13,8,1,23.0,2,22,15,8
1258,1259,2.0,3.0,3.0,2,3,34,No,Non-Travel,Research & Development,4.375,2,Technical Degree,Female,1,Research Scientist,Single,1120.6,0.0,Y,13,8,1,10.0,2,9,8,7
1259,1260,2.0,2.0,3.0,2,3,37,No,Travel_Rarely,Research & Development,10.625,3,Life Sciences,Female,3,Sales Executive,Married,268.32,4.0,Y,16,8,0,8.0,3,1,0,0
1261,1262,4.0,4.0,3.0,3,3,35,No,Travel_Rarely,Research & Development,5.0,4,Medical,Female,3,Research Scientist,Married,498.94,1.0,Y,16,8,1,1.0,2,1,0,1
1262,1263,1.0,3.0,3.0,1,3,48,Yes,Travel_Rarely,Research & Development,1.25,4,Technical Degree,Female,1,Sales Executive,Single,596.8299999999999,9.0,Y,16,8,0,23.0,6,1,0,0
1263,1264,3.0,3.0,2.0,3,4,28,Yes,Travel_Rarely,Research & Development,6.25,1,Medical,Male,1,Sales Executive,Single,332.93,1.0,Y,22,8,1,2.0,3,2,2,2
1264,1265,2.0,1.0,2.0,3,3,44,No,Travel_Rarely,Research & Development,0.625,1,Medical,Female,3,Research Scientist,Divorced,203.19,5.0,Y,12,8,2,9.0,3,4,1,3
1265,1266,3.0,1.0,3.0,3,3,35,No,Non-Travel,Research & Development,3.125,4,Technical Degree,Female,3,Manufacturing Director,Married,636.74,2.0,Y,15,8,2,10.0,2,4,2,3
1266,1267,3.0,4.0,2.0,3,4,26,No,Travel_Rarely,Research & Development,2.5,4,Life Sciences,Female,3,Sales Executive,Married,622.5699999999999,7.0,Y,20,8,1,5.0,2,2,0,0
1267,1268,1.0,4.0,3.0,3,3,33,No,Travel_Frequently,Sales,18.125,4,Life Sciences,Female,1,Human Resources,Single,413.4,1.0,Y,14,8,1,15.0,2,15,8,12
1268,1269,2.0,1.0,2.0,3,4,35,No,Travel_Frequently,Research & Development,9.375,3,Medical,Male,3,Manufacturing Director,Married,851.37,1.0,Y,20,8,0,9.0,3,9,1,8
1269,1270,3.0,1.0,3.0,2,3,35,No,Travel_Rarely,Human Resources,1.875,2,Life Sciences,Female,1,Laboratory Technician,Married,830.4399999999999,3.0,Y,13,8,0,4.0,6,2,2,2
